id;codigo;nomoficial;alt_izqini;alt_izqfin;alt_derini;alt_derfin;nomanter;tipo_c;observa;bicisenda;lado_ciclo;recorrid_x;ciclo_obse;desc_nomof;geojson
15882;2111;BRASIL AV.;102;200;101;199;;AVENIDA;;Ciclovías;Mano izquierda;Calle;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36797,-34.6252],[-58.36649,-34.6252]]]}"
15889;23007;VALLE;1052;1100;1051;1099;DON CRISTOBAL;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44332,-34.62525],[-58.44255,-34.62518]]]}"
15903;3159;CONSTITUCION;1802;1900;1801;1899;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39133,-34.62523],[-58.39254,-34.6253]]]}"
15906;2111;BRASIL AV.;202;300;201;299;;AVENIDA;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36972,-34.6253],[-58.36797,-34.6252]]]}"
15907;2014;BALCARCE;1402;1500;1401;1499;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36975,-34.62416],[-58.36975,-34.62433],[-58.36972,-34.6253]]]}"
15908;23007;VALLE;1102;1200;1101;1199;DON CRISTOBAL;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4446,-34.62534],[-58.44332,-34.62525]]]}"
15914;3159;CONSTITUCION;1902;2000;1901;1999;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39254,-34.6253],[-58.39324,-34.62534],[-58.39345,-34.62536]]]}"
15919;1033;ALBERDI, JUAN BAUTISTA AV.;1372;1400;1371;1399;PROVINCIAS UNIDAS;AVENIDA;;Carriles Preferenciales;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44745,-34.62517],[-58.44789,-34.62539]]]}"
15926;4079;DOBLAS;652;700;653;699;TORINO;CALLE;correción numeración 16-1;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.43008,-34.62543],[-58.43026,-34.62469]]]}"
15936;3159;CONSTITUCION;2002;2100;2001;2099;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39345,-34.62536],[-58.39364,-34.62538],[-58.3946,-34.62547]]]}"
15937;19035;RINCON;1332;1400;1331;1399;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39474,-34.62449],[-58.39462,-34.62531],[-58.3946,-34.62547]]]}"
15961;23007;VALLE;1202;1260;1201;1253;DON CRISTOBAL;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44533,-34.62559],[-58.44484,-34.6254],[-58.4446,-34.62534]]]}"
15965;21045;TREINTA Y TRES ORIENTALES;902;950;901;949;TREINTA Y TRES;CALLE;corrección numeración 17-1;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42322,-34.62487],[-58.42304,-34.62559]]]}"
15970;3159;CONSTITUCION;2102;2200;2101;2199;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3946,-34.62547],[-58.39481,-34.62549],[-58.39573,-34.62559]]]}"
15996;21004;TACUARI;1302;1500;1301;1499;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37859,-34.62362],[-58.37806,-34.62559],[-58.37801,-34.62566]]]}"
