id;codigo;nomoficial;alt_izqini;alt_izqfin;alt_derini;alt_derfin;nomanter;tipo_c;observa;bicisenda;lado_ciclo;recorrid_x;ciclo_obse;desc_nomof;geojson
4825;3115;CERETTI;2152;2200;2151;2199;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.49166,-34.57985],[-58.49107,-34.58061]]]}"
10937;2127;BULNES;302;400;301;399;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41861,-34.60678],[-58.41866,-34.60729]]]}"
3422;20127;SUPERI;1702;1800;1701;1799;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46316,-34.57179],[-58.46415,-34.57063]]]}"
1987;23042;VERTIZ VIRREY AV.;1802;1900;1801;1899;;AVENIDA;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44669,-34.5604],[-58.44819,-34.55986]]]}"
2036;16003;OBLIGADO RAFAEL, Av.Costanera;3052;3450;3051;3449;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40769,-34.5609],[-58.40838,-34.56014],[-58.40909,-34.55942],[-58.40978,-34.55878]]]}"
6417;6055;FRENCH;2902;2930;2901;2929;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40456,-34.58774],[-58.40405,-34.58803]]]}"
898;24003;WASHINGTON;4202;4300;4201;4299;;CALLE;corrección altura 8-1-03;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.48438,-34.55085],[-58.485,-34.55003]]]}"
1160;4111;MONROE;0;0;0;0;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.45086,-34.55291],[-58.45091,-34.55294]]]}"
2722;12107;DEL LIBERTADOR AV.;4502;4600;4501;4599;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.43123,-34.56678],[-58.43225,-34.56617]]]}"
2760;16003;OBLIGADO RAFAEL, Av.Costanera;1802;2250;1801;2249;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40194,-34.56792],[-58.40261,-34.56721],[-58.40307,-34.56654],[-58.40495,-34.56412]]]}"
2812;12107;DEL LIBERTADOR AV.;4402;4500;4401;4499;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.43017,-34.56739],[-58.43068,-34.5671],[-58.43123,-34.56678]]]}"
28971;12107;DEL LIBERTADOR AV.;0;0;5201;5299;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.43945,-34.56253],[-58.44049,-34.56237],[-58.4413,-34.56223]]]}"
2419;26006;YRURTIA, ROGELIO;5952;6000;5951;5999;;CALLE;;Bicisendas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.50344,-34.56429],[-58.50327,-34.56428],[-58.50313,-34.56426],[-58.50302,-34.56423]]]}"
7596;10014;JUNCAL;2002;2100;2001;2069;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39685,-34.59306],[-58.39575,-34.59339]]]}"
14088;13076;MEXICO;3002;3100;3001;3099;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40933,-34.6187],[-58.40803,-34.61828]]]}"
9409;21060;TUCUMAN;1002;1040;1001;1039;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3811,-34.60136],[-58.38159,-34.60137]]]}"
10333;20074;SARMIENTO;802;900;801;899;CUYO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37801,-34.60474],[-58.37909,-34.60482],[-58.37938,-34.60484]]]}"
11346;21004;TACUARI;2;50;1;49;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37919,-34.6089],[-58.37922,-34.6083]]]}"
11909;19016;RAWSON;172;200;171;199;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42602,-34.61031],[-58.42592,-34.611]]]}"
26843;19057;ROCA, CNEL. AV.;0;0;0;0;CAMINO AL PUENTE ALSINA O DE LA TABLADA;AVENIDA;;Ciclovías en obra;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.45173,-34.68108],[-58.45179,-34.68113]]]}"
1954;4515;DE LOS OMBUES AV.;0;0;0;0;SANCHEZ, FLORENCIO;AVENIDA;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.428,-34.55998],[-58.42791,-34.55989],[-58.42775,-34.55972],[-58.42735,-34.55928]]]}"
4243;20075;SARMIENTO AV.;3102;3350;3101;3349;;AVENIDA;;Ciclovías;Mano izquierda;Vereda;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41727,-34.57735],[-58.41557,-34.57554]]]}"
7122;3102;14 DE JULIO;102;150;101;149;DEL COLEGIO;CALLE;;Bicisendas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46774,-34.59077],[-58.46826,-34.59109]]]}"
28683;16003;OBLIGADO RAFAEL, Av.Costanera;7202;7400;7201;7399;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías en obra;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4351,-34.54289],[-58.43512,-34.54288],[-58.43605,-34.54267]]]}"
29828;7114;GUZMAN AV.;802;850;0;0;CAMARGO;AVENIDA;;Bicisendas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.45721,-34.58659],[-58.45669,-34.58698],[-58.4565,-34.58709]]]}"
2978;3115;CERETTI;3452;3500;3451;3499;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.50079,-34.5686],[-58.50152,-34.56767]]]}"
13645;19035;RINCON;602;700;601;699;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3961,-34.616],[-58.39605,-34.6172]]]}"
6705;6055;FRENCH;2702;2800;2701;2799;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40304,-34.58863],[-58.40189,-34.58929]]]}"
6709;3041;CAMPILLO;2902;3000;2901;2999;;CALLE;;Bicisendas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4777,-34.58932],[-58.4769,-34.58873]]]}"
14271;20030;CALABRIA AV.;0;0;0;0;SANCHEZ, FLORENCIO;AVENIDA;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.35808,-34.61716],[-58.35796,-34.61774],[-58.3577,-34.61925]]]}"
24549;12172;LAVADERO;2102;2200;2101;2199;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37419,-34.65648],[-58.37443,-34.65662],[-58.37477,-34.65675],[-58.3751,-34.65683],[-58.37534,-34.65683]]]}"
1531;2083;BLANCO ENCALADA;1802;1850;1801;1849;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.45354,-34.55592],[-58.45377,-34.55606],[-58.45389,-34.55612]]]}"
12147;20030;CALABRIA AV.;0;0;0;0;SANCHEZ, FLORENCIO;AVENIDA;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.35897,-34.61177],[-58.35892,-34.61182],[-58.35885,-34.6119],[-58.35882,-34.61195],[-58.35879,-34.61199],[-58.35876,-34.61206],[-58.35873,-34.61212],[-58.35871,-34.61221],[-58.35871,-34.61227],[-58.35871,-34.61234],[-58.35868,-34.61259]]]}"
10391;4046;DE LOS ITALIANOS AV.;0;0;0;0;;AVENIDA;corrección numeración 29-1;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36128,-34.60539],[-58.35944,-34.61062]]]}"
27748;20127;SUPERI;0;0;0;0;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46155,-34.57351],[-58.46173,-34.57343]]]}"
27809;7109;GUTENBERG;0;0;0;0;LA VIA DEL TRANVIA REAL;CALLE;;Bicisendas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46975,-34.59219],[-58.47433,-34.59231]]]}"
28963;12107;DEL LIBERTADOR AV.;0;0;5451;5499;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44337,-34.56172],[-58.44431,-34.56145]]]}"
896;16003;OBLIGADO RAFAEL, Av.Costanera;6182;6200;6181;6199;COSTANERA NORTE, Av.;AVENIDA;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42922,-34.55085],[-58.42969,-34.55052]]]}"
1035;16003;OBLIGADO RAFAEL, Av.Costanera;5992;6100;5991;6099;COSTANERA NORTE, Av.;AVENIDA;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4269,-34.55197],[-58.42848,-34.55128]]]}"
1079;16003;OBLIGADO RAFAEL, Av.Costanera;5902;5990;5901;5989;COSTANERA NORTE, Av.;AVENIDA;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42602,-34.5523],[-58.4269,-34.55197]]]}"
1181;16003;OBLIGADO RAFAEL, Av.Costanera;5502;5900;5501;5899;COSTANERA NORTE, Av.;AVENIDA;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42358,-34.55313],[-58.42411,-34.55295],[-58.42481,-34.55273],[-58.42602,-34.5523]]]}"
1724;16003;OBLIGADO RAFAEL, Av.Costanera;4202;4500;4201;4499;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41117,-34.55768],[-58.41211,-34.55703],[-58.41279,-34.5566],[-58.41377,-34.55607]]]}"
1828;16003;OBLIGADO RAFAEL, Av.Costanera;3452;4200;3451;4199;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40978,-34.55878],[-58.41059,-34.55814],[-58.41117,-34.55768]]]}"
2235;6025;FIGUEROA ALCORTA, PRES. AV.;5382;5400;5381;5399;CENTENARIO, Av.;AVENIDA;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42337,-34.56268],[-58.42357,-34.56241],[-58.42372,-34.56223],[-58.4239,-34.56202]]]}"
2387;6025;FIGUEROA ALCORTA, PRES. AV.;5302;5380;5301;5379;CENTENARIO, Av.;AVENIDA;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4226,-34.56404],[-58.42278,-34.56373],[-58.42327,-34.5628],[-58.42337,-34.56268]]]}"
4846;20075;SARMIENTO AV.;2602;3100;2601;3099;;AVENIDA;corrección numeración 22-1;Ciclovías;Mano izquierda;Vereda;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42058,-34.58079],[-58.41727,-34.57735]]]}"
7367;21059;TRONADOR;0;0;0;0;ESTOMBA Y PLAZA;CALLE;s/n corrección 10-1;Bicisendas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47433,-34.59231],[-58.47303,-34.59126],[-58.47299,-34.59121],[-58.47302,-34.59114]]]}"
8300;1087;ANTARTIDA ARGENTINA AV.;0;0;0;0;;AVENIDA;;Ciclovías;Mano izquierda;Vereda;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36862,-34.59692],[-58.36958,-34.59422]]]}"
8646;7135;GRIERSON, CECILIA;52;100;51;99;;CALLE;corrección nombre y núm.28-1;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36812,-34.59844],[-58.36798,-34.5984],[-58.36778,-34.59829],[-58.36736,-34.59826],[-58.36661,-34.59833],[-58.36596,-34.59829]]]}"
29027;23484;VILLAFLOR, AZUCENA;0;0;0;0;MONSERRAT-BELGRANO, AV.;BOULEVARD;corrección númeración 28-1;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36342,-34.61172],[-58.36355,-34.61175],[-58.36365,-34.61179]]]}"
60;16002;VUELTA DE OBLIGADO;4802;4900;4801;4899;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47371,-34.53937],[-58.47414,-34.53878]]]}"
80;16002;VUELTA DE OBLIGADO;4702;4800;4701;4799;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47313,-34.54014],[-58.47371,-34.53937]]]}"
102;16002;VUELTA DE OBLIGADO;4602;4700;4601;4699;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47257,-34.54091],[-58.47302,-34.5403],[-58.47313,-34.54014]]]}"
136;16002;VUELTA DE OBLIGADO;4502;4600;4501;4599;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47199,-34.54168],[-58.47257,-34.54091]]]}"
178;16002;VUELTA DE OBLIGADO;4402;4500;4401;4499;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47145,-34.54242],[-58.47157,-34.54226],[-58.47199,-34.54168]]]}"
180;19047;RIVADAVIA MARTIN, COMODORO;0;0;1601;1699;;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46372,-34.54245],[-58.46318,-34.54158]]]}"
203;19047;RIVADAVIA MARTIN, COMODORO;1702;1730;0;0;;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46389,-34.54277],[-58.46372,-34.54245]]]}"
224;16002;VUELTA DE OBLIGADO;4302;4400;4301;4399;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47088,-34.5432],[-58.47145,-34.54242]]]}"
240;19047;RIVADAVIA MARTIN, COMODORO;1752;1800;0;0;;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46425,-34.54349],[-58.4642,-34.54337],[-58.46389,-34.54277]]]}"
271;16002;VUELTA DE OBLIGADO;4202;4300;4201;4299;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4703,-34.54398],[-58.47088,-34.5432]]]}"
309;16002;VUELTA DE OBLIGADO;4102;4200;4101;4199;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46978,-34.54468],[-58.4703,-34.54398]]]}"
359;16002;VUELTA DE OBLIGADO;4002;4100;4001;4099;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46921,-34.54546],[-58.46978,-34.54468]]]}"
404;16002;VUELTA DE OBLIGADO;3902;4000;3901;3999;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46873,-34.54611],[-58.46921,-34.54546]]]}"
441;19047;RIVADAVIA MARTIN, COMODORO;2002;2100;2001;2099;;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46516,-34.54569],[-58.46525,-34.54586],[-58.46545,-34.54628],[-58.46556,-34.54648],[-58.46575,-34.54667]]]}"
443;10005;JARAMILLO;2052;2100;2051;2099;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46517,-34.54626],[-58.46535,-34.54651],[-58.46565,-34.5468]]]}"
455;16002;VUELTA DE OBLIGADO;3802;3900;3801;3899;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46821,-34.54682],[-58.46873,-34.54611]]]}"
496;19047;RIVADAVIA MARTIN, COMODORO;0;0;2101;2199;;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46575,-34.54667],[-58.46649,-34.5474]]]}"
6637;2035;BAUNESS;1002;1100;1001;1099;;CALLE;;Bicisendas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47592,-34.588],[-58.47501,-34.58899]]]}"
513;16002;VUELTA DE OBLIGADO;3702;3800;3701;3799;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46769,-34.54753],[-58.46821,-34.54682]]]}"
552;19047;RIVADAVIA MARTIN, COMODORO;0;0;2201;2299;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4673,-34.54804],[-58.46637,-34.54758]]]}"
553;16002;VUELTA DE OBLIGADO;3652;3700;3651;3699;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46744,-34.54787],[-58.46769,-34.54753]]]}"
579;4111;MONROE;702;800;701;799;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44219,-34.54777],[-58.44314,-34.54833]]]}"
585;16002;VUELTA DE OBLIGADO;3602;3650;3601;3649;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46706,-34.54838],[-58.46718,-34.5482],[-58.4673,-34.54804]]]}"
598;19047;RIVADAVIA MARTIN, COMODORO;0;0;2301;2399;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46855,-34.54848],[-58.46747,-34.54809],[-58.4673,-34.54804]]]}"
637;7028;GARCIA DEL RIO AV.;2402;2500;0;0;;AVENIDA;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46989,-34.54881],[-58.46851,-34.54854]]]}"
651;7028;GARCIA DEL RIO AV.;2502;2600;0;0;;AVENIDA;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47042,-34.54892],[-58.46989,-34.54881]]]}"
662;4111;MONROE;802;900;801;899;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44314,-34.54833],[-58.44334,-34.54845],[-58.44428,-34.54901]]]}"
666;7028;GARCIA DEL RIO AV.;0;0;0;0;;AVENIDA;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47095,-34.54902],[-58.47042,-34.54892]]]}"
688;16002;VUELTA DE OBLIGADO;3502;3600;3501;3599;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46647,-34.54918],[-58.46706,-34.54838]]]}"
692;23062;VILELA;3302;3400;3301;3399;;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47925,-34.54908],[-58.47959,-34.54909],[-58.47993,-34.54912],[-58.48033,-34.54918],[-58.48045,-34.5492]]]}"
697;7028;GARCIA DEL RIO AV.;2602;2700;0;0;;AVENIDA;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47199,-34.54923],[-58.47095,-34.54902]]]}"
714;7028;GARCIA DEL RIO AV.;2702;2800;0;0;;AVENIDA;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47305,-34.54944],[-58.47199,-34.54923]]]}"
722;6057;FREIRE, RAMON, CAP. GRAL.;4002;4100;4001;4099;FREYRE-CAPITAN RAMON FREYRE;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47763,-34.54948],[-58.47823,-34.54928],[-58.4788,-34.54913],[-58.47925,-34.54908]]]}"
730;23062;VILELA;3402;3500;3401;3499;;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.48045,-34.5492],[-58.48067,-34.54925],[-58.48101,-34.54934],[-58.48134,-34.54946],[-58.48149,-34.54953]]]}"
746;7028;GARCIA DEL RIO AV.;2802;2900;0;0;;AVENIDA;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4741,-34.54965],[-58.47305,-34.54944]]]}"
748;4111;MONROE;902;1000;901;999;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44428,-34.54901],[-58.44537,-34.54966]]]}"
769;7028;GARCIA DEL RIO AV.;2902;3000;0;0;;AVENIDA;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47517,-34.54986],[-58.4741,-34.54965]]]}"
786;16002;VUELTA DE OBLIGADO;3402;3500;3401;3499;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4659,-34.54996],[-58.46647,-34.54918]]]}"
800;7028;GARCIA DEL RIO AV.;3002;3100;0;0;;AVENIDA;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47622,-34.55007],[-58.47517,-34.54986]]]}"
810;23062;VILELA;3502;3600;3501;3599;;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.48149,-34.54953],[-58.4816,-34.54958],[-58.48178,-34.54969],[-58.48201,-34.54985],[-58.48223,-34.55001],[-58.48234,-34.55012]]]}"
824;7028;GARCIA DEL RIO AV.;3102;3200;0;0;;AVENIDA;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47704,-34.55025],[-58.47689,-34.5502],[-58.47622,-34.55007]]]}"
825;17087;PINTO;3902;4000;3901;3999;;CALLE;corrección numeración 5-2;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47725,-34.54998],[-58.47763,-34.54948]]]}"
832;4111;MONROE;1002;1100;1001;1099;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44537,-34.54966],[-58.44648,-34.55031]]]}"
860;19093;RUIZ HUIDOBRO AV.;3702;3800;0;0;;AVENIDA;corr. altura 8-1-03;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4859,-34.55056],[-58.48506,-34.55012],[-58.485,-34.55003]]]}"
886;16002;VUELTA DE OBLIGADO;3302;3400;3301;3399;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46533,-34.55074],[-58.4659,-34.54996]]]}"
912;4111;MONROE;1102;1200;1101;1199;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44648,-34.55031],[-58.44763,-34.551]]]}"
921;19093;RUIZ HUIDOBRO AV.;3802;3900;0;0;;AVENIDA;corr. altura 8-1-03;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.48684,-34.55104],[-58.4859,-34.55056]]]}"
932;7028;GARCIA DEL RIO;3202;3300;3201;3299;;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47766,-34.55114],[-58.47758,-34.55107],[-58.47745,-34.55093],[-58.47731,-34.55072],[-58.47721,-34.55052],[-58.47714,-34.55037],[-58.4771,-34.5503],[-58.47704,-34.55025]]]}"
1394;4111;MONROE;1702;1800;1701;1799;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.45327,-34.55434],[-58.4543,-34.55495]]]}"
975;19093;RUIZ HUIDOBRO AV.;3902;4000;0;0;;AVENIDA;corr. altura 8-1-03;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.48766,-34.55147],[-58.48684,-34.55104]]]}"
982;16002;VUELTA DE OBLIGADO;3202;3300;3201;3299;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46476,-34.55152],[-58.46533,-34.55074]]]}"
987;23062;VILELA;3702;3800;3701;3799;;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4838,-34.5516],[-58.48287,-34.55112]]]}"
988;24003;WASHINGTON;4102;4200;4101;4199;;CALLE;corrección altura 8-1-03;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4838,-34.5516],[-58.48438,-34.55085]]]}"
989;6025;FIGUEROA ALCORTA, PRES. AV.;6602;6700;6601;6699;CENTENARIO, Av.;AVENIDA;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.43674,-34.55161],[-58.43742,-34.55082],[-58.43756,-34.55066]]]}"
995;4111;MONROE;1202;1300;1201;1299;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44763,-34.551],[-58.44874,-34.55165]]]}"
999;7028;GARCIA DEL RIO;3302;3400;3301;3399;;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47854,-34.55171],[-58.47845,-34.55166],[-58.47822,-34.55155],[-58.47802,-34.55142],[-58.47774,-34.55121],[-58.47766,-34.55114]]]}"
1000;19093;RUIZ HUIDOBRO AV.;4002;4100;0;0;;AVENIDA;corr. altura 8-1-03;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.48846,-34.55171],[-58.48766,-34.55147]]]}"
1015;19093;RUIZ HUIDOBRO AV.;0;0;0;0;;AVENIDA;no corresponde altura 8-1-03;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.48846,-34.55171],[-58.48855,-34.5517],[-58.48865,-34.55172],[-58.48878,-34.55178],[-58.48883,-34.55183]]]}"
1043;7028;GARCIA DEL RIO;3402;3500;3401;3499;;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.47959,-34.55203],[-58.47937,-34.55199],[-58.47922,-34.55196],[-58.47894,-34.55187],[-58.47869,-34.55177],[-58.47854,-34.55171]]]}"
1057;17065;PEREZ, ROQUE;3902;4000;3901;3999;URQUIZA;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.48206,-34.55178],[-58.48167,-34.55192],[-58.48092,-34.55211],[-58.48079,-34.55217]]]}"
1058;7028;GARCIA DEL RIO;3502;3600;3501;3599;;CALLE;;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.48079,-34.55217],[-58.48057,-34.55212],[-58.48011,-34.5521],[-58.47968,-34.55205],[-58.47959,-34.55203]]]}"
1078;16002;VUELTA DE OBLIGADO;3102;3200;3101;3199;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4642,-34.55229],[-58.46476,-34.55152]]]}"
